DATE,CBLTCUSD
2016-08-17,3.62
2016-08-18,3.7
2016-08-19,4
2016-08-20,.
2016-08-21,4
2016-08-22,3.99
2016-08-23,3.95
2016-08-24,3.79
2016-08-25,3.81
2016-08-26,3.81
2016-08-27,3.78
2016-08-28,3.78
2016-08-29,3.74
2016-08-30,3.81
2016-08-31,3.74
2016-09-01,3.66
2016-09-02,3.84
2016-09-03,3.88
2016-09-04,4.02
2016-09-05,3.96
2016-09-06,3.95
2016-09-07,3.97
2016-09-08,4.01
2016-09-09,3.96
2016-09-10,3.97
2016-09-11,3.93
2016-09-12,3.88
2016-09-13,3.81
2016-09-14,3.83
2016-09-15,3.85
2016-09-16,3.81
2016-09-17,3.82
2016-09-18,3.87
2016-09-19,3.8
2016-09-20,3.86
2016-09-21,3.82
2016-09-22,3.79
2016-09-23,3.83
2016-09-24,3.87
2016-09-25,3.8
2016-09-26,3.89
2016-09-27,3.85
2016-09-28,3.83
2016-09-29,3.86
2016-09-30,3.81
2016-10-01,3.85
2016-10-02,3.83
2016-10-03,3.83
2016-10-04,3.85
2016-10-05,3.88
2016-10-06,3.82
2016-10-07,3.86
2016-10-08,3.86
2016-10-09,3.8
2016-10-10,3.79
2016-10-11,3.83
2016-10-12,3.8
2016-10-13,3.83
2016-10-14,3.82
2016-10-15,3.93
2016-10-16,3.88
2016-10-17,3.9
2016-10-18,3.9
2016-10-19,3.79
2016-10-20,3.8
2016-10-21,3.8
2016-10-22,3.84
2016-10-23,3.88
2016-10-24,3.88
2016-10-25,3.85
2016-10-26,3.96
2016-10-27,4.02
2016-10-28,4.01
2016-10-29,4.06
2016-10-30,3.95
2016-10-31,3.98
2016-11-01,4.12
2016-11-02,4.19
2016-11-03,3.82
2016-11-04,3.89
2016-11-05,3.87
2016-11-06,3.91
2016-11-07,3.88
2016-11-08,3.84
2016-11-09,3.98
2016-11-10,3.8
2016-11-11,3.85
2016-11-12,3.76
2016-11-13,3.9
2016-11-14,3.86
2016-11-15,3.92
2016-11-16,3.94
2016-11-17,3.86
2016-11-18,3.87
2016-11-19,3.92
2016-11-20,3.89
2016-11-21,3.93
2016-11-22,3.9
2016-11-23,3.9
2016-11-24,3.9
2016-11-25,3.9
2016-11-26,3.86
2016-11-27,3.88
2016-11-28,3.84
2016-11-29,3.82
2016-11-30,3.85
2016-12-01,3.88
2016-12-02,3.91
2016-12-03,3.9
2016-12-04,3.87
2016-12-05,3.5
2016-12-06,3.52
2016-12-07,3.65
2016-12-08,3.65
2016-12-09,3.74
2016-12-10,3.7
2016-12-11,3.67
2016-12-12,3.64
2016-12-13,3.62
2016-12-14,3.6
2016-12-15,3.5
2016-12-16,3.64
2016-12-17,3.71
2016-12-18,3.62
2016-12-19,3.66
2016-12-20,3.64
2016-12-21,3.64
2016-12-22,3.69
2016-12-23,4.61
2016-12-24,4.47
2016-12-25,4.3
2016-12-26,4.27
2016-12-27,4.34
2016-12-28,4.53
2016-12-29,4.68
2016-12-30,4.35
2016-12-31,4.36
2017-01-01,4.43
2017-01-02,4.62
2017-01-03,4.54
2017-01-04,4.62
2017-01-05,4.24
2017-01-06,3.88
2017-01-07,3.99
2017-01-08,4.03
2017-01-09,4.39
2017-01-10,4.67
2017-01-11,3.99
2017-01-12,4.06
2017-01-13,3.96
2017-01-14,4.01
2017-01-15,3.97
2017-01-16,3.88
2017-01-17,3.95
2017-01-18,3.88
2017-01-19,3.89
2017-01-20,3.88
2017-01-21,3.92
2017-01-22,3.87
2017-01-23,3.83
2017-01-24,3.73
2017-01-25,3.69
2017-01-26,3.85
2017-01-27,3.9
2017-01-28,3.88
2017-01-29,3.88
2017-01-30,4.08
2017-01-31,4.09
2017-02-01,4.08
2017-02-02,4.1
2017-02-03,4.03
2017-02-04,4.03
2017-02-05,3.99
2017-02-06,3.96
2017-02-07,3.98
